date,PCR positive cases,deaths,
2020/1/16,1,0,
2020/1/17,0,0,
2020/1/18,0,0,
2020/1/19,0,0,
2020/1/20,0,0,
2020/1/21,0,0,
2020/1/22,0,0,
2020/1/23,0,0,
2020/1/24,1,0,
2020/1/25,1,0,
2020/1/26,1,0,
2020/1/27,0,0,
2020/1/28,3,0,
2020/1/29,1,0,
2020/1/30,3,0,
2020/1/31,1,0,
2020/2/1,0,0,
2020/2/2,0,0,
2020/2/3,0,0,
2020/2/4,2,0,
2020/2/5,2,0,
2020/2/6,0,0,
2020/2/7,0,0,
2020/2/8,0,0,
2020/2/9,0,0,
2020/2/10,0,0,
2020/2/11,0,0,
2020/2/12,1,0,
2020/2/13,4,1,
2020/2/14,7,0,
2020/2/15,12,0,
2020/2/16,6,0,#REF!
2020/2/17,7,0,
2020/2/18,7,0,
2020/2/19,10,0,
2020/2/20,9,0,
2020/2/21,11,0,
2020/2/22,27,0,
2020/2/23,12,0,
2020/2/24,12,0,
2020/2/25,8,0,
2020/2/26,22,2,
2020/2/27,24,1,
2020/2/28,20,1,
2020/2/29,9,0,
2020/3/1,15,1,
2020/3/2,14,0,
2020/3/3,16,0,
2020/3/4,33,0,
2020/3/5,31,0,
2020/3/6,59,0,
2020/3/7,47,0,
2020/3/8,33,1,
2020/3/9,26,2,
2020/3/10,54,3,
2020/3/11,52,3,
2020/3/12,55,4,
2020/3/13,40,2,
2020/3/14,62,1,
2020/3/15,33,2,#REF!
2020/3/16,15,4,
2020/3/17,44,1,
2020/3/18,39,2,
2020/3/19,36,2,
2020/3/20,53,2,
2020/3/21,34,1,
2020/3/22,42,5,
2020/3/23,38,1,
2020/3/24,65,1,
2020/3/25,93,2,
2020/3/26,96,1,
2020/3/27,104,3,
2020/3/28,194,3,
2020/3/29,185,2,
2020/3/30,74,2,
2020/3/31,218,1,
2020/4/1,224,3,
2020/4/2,253,3,
2020/4/3,337,6,
2020/4/4,370,1,
2020/4/5,386,3,
2020/4/6,270,7,
2020/4/7,377,1,
2020/4/8,550,4,
2020/4/9,572,3,
2020/4/10,708,6,
2020/4/11,676,4,
2020/4/12,571,4,
2020/4/13,333,7,
2020/4/14,511,10,
2020/4/15,511,17,
2020/4/16,596,12,#REF!
2020/4/17,575,6,
2020/4/18,590,7,
2020/4/19,372,10,
2020/4/20,365,15,
2020/4/21,374,91,
2020/4/22,450,10,
2020/4/23,445,30,
2020/4/24,451,17,
2020/4/25,374,14,
2020/4/26,221,3,
2020/4/27,189,25,
2020/4/28,284,13,
2020/4/29,227,26,
2020/4/30,199,17,
2020/5/1,266,26,
2020/5/2,302,34,
2020/5/3,204,18,
2020/5/4,177,11,
2020/5/5,120,22,
2020/5/6,106,8,
2020/5/7,96,49,
2020/5/8,89,13,
2020/5/9,108,8,
2020/5/10,68,22,
2020/5/11,50,25,
2020/5/12,80,19,
2020/5/13,54,23,
2020/5/14,100,15,
2020/5/15,52,19,
2020/5/16,57,5,#REF!
2020/5/17,30,14,
2020/5/18,30,8,
2020/5/19,31,6,
2020/5/20,38,19,
2020/5/21,43,12,
2020/5/22,31,12,
2020/5/23,29,10,
2020/5/24,40,16,
2020/5/25,20,12,
2020/5/26,27,9,
2020/5/27,37,7,
2020/5/28,61,12,
2020/5/29,64,5,
2020/5/30,46,1,
2020/5/31,32,2,
2020/6/1,36,6,
2020/6/2,51,3,
2020/6/3,26,4,
2020/6/4,45,7,
2020/6/5,41,2,
2020/6/6,45,0,
2020/6/7,32,0,
2020/6/8,22,3,
